name,cr,type,tag,size,ac,hp,align,legendary,source,str,dex,con,int,wis,cha,can_fly,can_swim,shapechanger
ancient-black-dragon,21.0,dragon,black dragon,Gargantuan,22,367,chaotic evil,1,Monster Manual,27.0,14.0,25.0,16.0,15.0,19.0,1,1,0
ancient-blue-dragon,23.0,dragon,blue dragon,Gargantuan,22,481,lawful evil,1,Monster Manual,29.0,10.0,27.0,18.0,17.0,21.0,1,0,0
ancient-brass-dragon,20.0,dragon,brass dragon,Gargantuan,20,297,chaotic good,1,Monster Manual,27.0,10.0,25.0,16.0,15.0,19.0,1,0,0
ancient-bronze-dragon,22.0,dragon,bronze dragon,Gargantuan,22,444,lawful good,1,Monster Manual,29.0,10.0,27.0,18.0,17.0,21.0,1,1,0
ancient-copper-dragon,21.0,dragon,copper dragon,Gargantuan,21,350,chaotic good,1,Monster Manual,27.0,12.0,25.0,20.0,17.0,19.0,1,0,0
ancient-gold-dragon,24.0,dragon,gold dragon,Gargantuan,22,546,lawful good,1,Monster Manual,30.0,14.0,29.0,18.0,17.0,28.0,1,1,0
ancient-green-dragon,22.0,dragon,green dragon,Gargantuan,21,385,lawful evil,1,Monster Manual,27.0,12.0,25.0,20.0,17.0,19.0,1,1,0
ancient-red-dragon,24.0,dragon,red dragon,Gargantuan,22,546,chaotic evil,1,Monster Manual,30.0,10.0,29.0,18.0,15.0,23.0,1,0,0
ancient-shadow,1.0,undead,,Medium,13,32,chaotic evil,0,Other,6.0,16.0,14.0,6.0,10.0,8.0,0,0,0
ancient-silver-dragon,23.0,dragon,silver dragon,Gargantuan,22,487,lawful good,1,Monster Manual,30.0,10.0,29.0,18.0,15.0,23.0,1,0,0
ancient-white-dragon,20.0,dragon,white dragon,Gargantuan,20,333,chaotic evil,1,Monster Manual,26.0,10.0,26.0,10.0,13.0,14.0,1,1,0
androsphinx,17.0,monstrosity,,Large,17,199,lawful neutral,1,Monster Manual,22.0,10.0,20.0,16.0,18.0,23.0,1,0,0
animated-armor,1.0,construct,,Medium,18,33,unaligned,0,Monster Manual,14.0,11.0,13.0,1.0,3.0,1.0,0,0,0
ankheg,2.0,monstrosity,,Large,14,39,unaligned,0,Monster Manual,17.0,11.0,13.0,1.0,13.0,6.0,0,0,0
ankylosaurus,3.0,beast,,Huge,15,68,unaligned,0,Monster Manual,19.0,11.0,15.0,2.0,12.0,5.0,0,0,0
annis-hag,6.0,fey,,Large,17,75,chaotic evil,0,Volo's Guide to Monsters,21.0,12.0,14.0,13.0,14.0,15.0,0,0,0
ape,0.5,beast,,Medium,12,19,unaligned,0,Monster Manual,16.0,14.0,14.0,6.0,12.0,7.0,0,0,0
apprentice-wizard,0.25,humanoid,any race,Medium,10,9,any alignment,0,Volo's Guide to Monsters,10.0,10.0,10.0,10.0,14.0,11.0,0,0,0
arcanaloth,12.0,fiend,yugoloth,Medium,17,104,neutral evil,0,Monster Manual,17.0,12.0,14.0,20.0,16.0,17.0,1,0,0
archdruid,12.0,humanoid,any race,Medium,16,132,any alignment,0,Volo's Guide to Monsters,10.0,14.0,12.0,12.0,20.0,11.0,0,0,0
archer,3.0,humanoid,any race,Medium,16,75,any alignment,0,Volo's Guide to Monsters,11.0,18.0,16.0,11.0,13.0,10.0,0,0,0
archmage,12.0,humanoid,any race,Medium,12,99,any alignment,0,Monster Manual,10.0,14.0,12.0,20.0,15.0,16.0,0,0,0
armanite,7.0,fiend,demon,Large,16,84,chaotic evil,0,Mordenkainen's Tome of Foes,21.0,18.0,21.0,8.0,12.0,13.0,0,0,0
assassin,8.0,humanoid,any race,Medium,15,78,any non-good alignment,0,Monster Manual,11.0,16.0,14.0,13.0,11.0,10.0,0,0,0
assassin-vine,3.0,plant,,Large,13,85,unaligned,0,Other,18.0,10.0,16.0,1.0,10.0,1.0,0,0,0
astral-dreadnought,21.0,monstrosity,titan,Gargantuan,20,297,unaligned,1,Mordenkainen's Tome of Foes,28.0,7.0,25.0,5.0,14.0,18.0,1,0,0
atropal,13.0,undead,titan,Huge,7,225,neutral evil,0,Other,19.0,5.0,22.0,25.0,19.0,24.0,1,0,0
aurochs,2.0,beast,,Large,11,38,unaligned,0,Volo's Guide to Monsters,20.0,10.0,19.0,2.0,12.0,5.0,0,0,0
autumn-eladrin,10.0,fey,elf,Medium,19,127,chaotic neutral,0,Mordenkainen's Tome of Foes,12.0,16.0,16.0,14.0,17.0,18.0,0,0,0
awakened-shrub,0.0,plant,,Small,9,10,unaligned,0,Monster Manual,3.0,8.0,11.0,10.0,10.0,6.0,0,0,0
awakened-tree,2.0,plant,,Huge,13,59,unaligned,0,Monster Manual,19.0,6.0,15.0,10.0,10.0,7.0,0,0,0
axe-beak,0.25,beast,,Large,11,19,unaligned,0,Monster Manual,14.0,12.0,12.0,2.0,10.0,5.0,0,0,0
azer,2.0,elemental,,Medium,17,39,lawful neutral,0,Monster Manual,17.0,12.0,15.0,12.0,13.0,10.0,0,0,0
babau,4.0,fiend,demon,Medium,16,82,chaotic evil,0,Volo's Guide to Monsters,19.0,16.0,16.0,11.0,12.0,13.0,0,0,0
baboon,0.0,beast,,Small,12,3,unaligned,0,Monster Manual,8.0,14.0,11.0,4.0,12.0,6.0,0,0,0
badger,0.0,beast,,Tiny,10,3,unaligned,0,Monster Manual,4.0,11.0,12.0,2.0,12.0,5.0,0,0,0
balhannoth,11.0,aberration,,Large,17,114,chaotic evil,0,Mordenkainen's Tome of Foes,17.0,8.0,18.0,6.0,15.0,8.0,0,0,0
balor,19.0,fiend,demon,Huge,19,262,chaotic evil,0,Monster Manual,26.0,15.0,22.0,20.0,16.0,22.0,1,0,0
banderhobb,5.0,monstrosity,,Large,15,84,neutral evil,0,Volo's Guide to Monsters,20.0,12.0,20.0,11.0,14.0,8.0,0,0,0
bandit,0.125,humanoid,any race,Medium,12,11,any non-lawful alignment,0,Monster Manual,11.0,12.0,12.0,10.0,10.0,10.0,0,0,0
bandit-captain,2.0,humanoid,any race,Medium,15,65,any non-lawful alignment,0,Monster Manual,15.0,16.0,14.0,14.0,11.0,14.0,0,0,0
banshee,4.0,undead,,Medium,12,58,chaotic evil,0,Monster Manual,1.0,14.0,10.0,12.0,11.0,17.0,1,0,0
barbed-devil,5.0,fiend,devil,Medium,15,110,lawful evil,0,Monster Manual,16.0,17.0,18.0,12.0,14.0,14.0,0,0,0
bard,2.0,humanoid,any race,Medium,15,44,any alignment,0,Volo's Guide to Monsters,11.0,14.0,12.0,10.0,13.0,14.0,0,0,0
barghest,4.0,fiend,,Large,17,90,neutral evil,0,Volo's Guide to Monsters,19.0,15.0,14.0,13.0,12.0,14.0,0,0,1
barlgura,5.0,fiend,demon,Large,15,68,chaotic evil,0,Monster Manual,18.0,15.0,16.0,7.0,14.0,9.0,0,0,0
basilisk,3.0,monstrosity,,Medium,15,52,unaligned,0,Monster Manual,16.0,8.0,15.0,2.0,8.0,7.0,0,0,0
bat,0.0,beast,,Tiny,12,1,unaligned,0,Monster Manual,2.0,15.0,8.0,2.0,12.0,4.0,1,0,0
bearded-devil,3.0,fiend,devil,Medium,13,52,lawful evil,0,Monster Manual,16.0,15.0,15.0,9.0,11.0,11.0,0,0,0
behir,11.0,monstrosity,,Huge,17,168,neutral evil,0,Monster Manual,23.0,16.0,18.0,7.0,14.0,12.0,0,0,0
beholder,13.0,aberration,beholder,Large,18,180,lawful evil,1,Monster Manual,10.0,14.0,18.0,17.0,15.0,17.0,1,0,0
beholder-zombie,5.0,undead,beholder,Large,15,93,neutral evil,0,Monster Manual,10.0,8.0,16.0,3.0,8.0,5.0,1,0,0
berbalang,2.0,aberration,,Medium,14,38,neutral evil,0,Mordenkainen's Tome of Foes,9.0,16.0,9.0,17.0,11.0,10.0,1,0,0
berserker,2.0,humanoid,any race,Medium,13,67,any chaotic alignment,0,Monster Manual,16.0,12.0,17.0,9.0,11.0,9.0,0,0,0
bheur-hag,7.0,fey,,Medium,17,91,chaotic evil,0,Volo's Guide to Monsters,13.0,16.0,14.0,12.0,13.0,16.0,0,0,0
black-abishai,7.0,fiend,devil,Medium,15,58,lawful evil,0,Mordenkainen's Tome of Foes,14.0,17.0,14.0,13.0,16.0,11.0,1,0,0
black-bear,0.5,beast,,Medium,11,19,unaligned,0,Monster Manual,15.0,10.0,14.0,2.0,12.0,7.0,0,0,0
black-dragon-wyrmling,2.0,dragon,black dragon,Medium,17,33,chaotic evil,0,Monster Manual,15.0,14.0,13.0,10.0,11.0,13.0,1,1,0
black-gauntlet-of-bane,6.0,humanoid,human,Medium,16,51,lawful evil,0,Other,18.0,11.0,18.0,12.0,15.0,18.0,0,0,0
black-pudding,4.0,ooze,,Large,7,85,unaligned,0,Monster Manual,16.0,5.0,16.0,1.0,6.0,1.0,0,0,0
blackguard,8.0,humanoid,any race,Medium,18,153,any non-good alignment,0,Volo's Guide to Monsters,18.0,11.0,18.0,11.0,14.0,15.0,0,0,0
blink-dog,0.25,fey,,Medium,13,22,lawful good,0,Monster Manual,12.0,17.0,12.0,10.0,13.0,11.0,0,0,0
blood-hawk,0.125,beast,,Small,12,7,unaligned,0,Monster Manual,6.0,14.0,10.0,3.0,14.0,5.0,1,0,0
blue-abishai,17.0,fiend,devil,Medium,19,195,lawful evil,0,Mordenkainen's Tome of Foes,15.0,14.0,17.0,22.0,23.0,18.0,1,0,0
blue-dragon-wyrmling,3.0,dragon,blue dragon,Medium,17,52,lawful evil,0,Monster Manual,17.0,10.0,15.0,12.0,11.0,15.0,1,0,0
blue-slaad,7.0,aberration,slaad,Large,15,123,chaotic neutral,0,Monster Manual,20.0,15.0,18.0,7.0,7.0,9.0,0,0,0
boar,0.25,beast,,Medium,11,11,unaligned,0,Monster Manual,13.0,11.0,12.0,2.0,9.0,5.0,0,0,0
bodak,6.0,undead,,Medium,15,58,chaotic evil,0,Volo's Guide to Monsters,15.0,16.0,15.0,7.0,12.0,12.0,0,0,0
boggle,0.125,fey,,Small,14,18,chaotic neutral,0,Volo's Guide to Monsters,8.0,18.0,13.0,6.0,12.0,7.0,0,0,0
bone-devil,9.0,fiend,devil,Large,19,142,lawful evil,0,Monster Manual,18.0,16.0,18.0,13.0,14.0,16.0,1,0,0
bone-naga,4.0,undead,,Large,15,58,lawful evil,0,Monster Manual,15.0,16.0,12.0,15.0,15.0,16.0,0,0,0
boneclaw,12.0,undead,,Large,16,127,chaotic evil,0,Mordenkainen's Tome of Foes,19.0,16.0,15.0,13.0,15.0,9.0,0,0,0
brass-dragon-wyrmling,1.0,dragon,brass dragon,Medium,16,16,chaotic good,0,Monster Manual,15.0,10.0,13.0,10.0,11.0,13.0,1,0,0
brontosaurus,5.0,beast,,Gargantuan,15,121,unaligned,0,Other,21.0,9.0,17.0,2.0,10.0,7.0,0,0,0
bronze-dragon-wyrmling,2.0,dragon,bronze dragon,Medium,17,32,lawful good,0,Monster Manual,17.0,10.0,15.0,12.0,11.0,15.0,1,1,0
brown-bear,1.0,beast,,Large,11,34,unaligned,0,Monster Manual,19.0,10.0,16.0,2.0,13.0,7.0,0,0,0
bugbear,1.0,humanoid,goblinoid,Medium,16,27,chaotic evil,0,Monster Manual,15.0,14.0,13.0,8.0,11.0,9.0,0,0,0
bugbear-chief,3.0,humanoid,goblinoid,Medium,17,65,chaotic evil,0,Monster Manual,17.0,14.0,14.0,11.0,12.0,11.0,0,0,0
bulette,5.0,monstrosity,,Large,17,94,unaligned,0,Monster Manual,19.0,11.0,21.0,2.0,10.0,5.0,0,0,0
bulezau,3.0,fiend,demon,Medium,14,52,chaotic evil,0,Mordenkainen's Tome of Foes,15.0,14.0,17.0,8.0,9.0,6.0,0,0,0
bullywug,0.25,humanoid,,Medium,15,11,neutral evil,0,Monster Manual,12.0,12.0,13.0,7.0,10.0,7.0,0,1,0
cadaver-collector,14.0,construct,,Large,17,189,lawful evil,0,Mordenkainen's Tome of Foes,21.0,14.0,20.0,5.0,11.0,8.0,0,0,0
cambion,5.0,fiend,,Medium,19,82,any evil alignment,0,Monster Manual,18.0,18.0,16.0,14.0,12.0,16.0,1,0,0
camel,0.125,beast,,Large,9,15,unaligned,0,Monster Manual,16.0,8.0,14.0,2.0,8.0,5.0,0,0,0
canoloth,8.0,fiend,yugoloth,Medium,16,120,neutral evil,0,Mordenkainen's Tome of Foes,18.0,10.0,17.0,5.0,17.0,12.0,0,0,0
carrion-crawler,2.0,monstrosity,,Large,13,51,unaligned,0,Monster Manual,14.0,13.0,16.0,1.0,12.0,5.0,0,0,0
cat,0.0,beast,,Tiny,12,2,unaligned,0,Monster Manual,3.0,15.0,10.0,3.0,12.0,7.0,0,0,0
catoblepas,5.0,monstrosity,,Large,14,84,unaligned,0,Volo's Guide to Monsters,19.0,12.0,21.0,3.0,14.0,8.0,0,0,0
cave-fisher,3.0,monstrosity,,Medium,16,58,unaligned,0,Volo's Guide to Monsters,16.0,13.0,14.0,3.0,10.0,3.0,0,0,0
centaur,2.0,monstrosity,,Large,12,45,neutral good,0,Monster Manual,18.0,14.0,14.0,9.0,13.0,11.0,0,0,0
chain-devil,8.0,fiend,devil,Medium,16,85,lawful evil,0,Monster Manual,18.0,15.0,18.0,11.0,12.0,14.0,0,0,0
champion,9.0,humanoid,any race,Medium,18,143,any alignment,0,Volo's Guide to Monsters,20.0,15.0,14.0,10.0,14.0,12.0,0,0,0
chasme,6.0,fiend,demon,Large,15,84,chaotic evil,0,Monster Manual,15.0,15.0,12.0,11.0,14.0,10.0,1,0,0
chimera,6.0,monstrosity,,Large,14,114,chaotic evil,0,Monster Manual,19.0,11.0,19.0,3.0,14.0,10.0,1,0,0
chitine,0.5,monstrosity,,Small,14,18,chaotic evil,0,Volo's Guide to Monsters,10.0,14.0,12.0,10.0,10.0,7.0,0,0,0
choker,1.0,aberration,,Small,16,13,chaotic evil,0,Mordenkainen's Tome of Foes,16.0,14.0,13.0,4.0,12.0,7.0,0,0,0
choldrith,3.0,monstrosity,,Medium,15,66,chaotic evil,0,Volo's Guide to Monsters,12.0,16.0,12.0,11.0,14.0,10.0,0,0,0
chuul,4.0,aberration,,Large,16,93,chaotic evil,0,Monster Manual,19.0,10.0,16.0,5.0,11.0,5.0,0,1,0
clay-golem,9.0,construct,,Large,14,133,unaligned,0,Monster Manual,20.0,9.0,18.0,3.0,8.0,1.0,0,0,0
cloaker,8.0,aberration,,Large,14,78,chaotic neutral,0,Monster Manual,17.0,15.0,12.0,13.0,12.0,14.0,1,0,0
cloud-giant,9.0,giant,cloud giant,Huge,14,200,neutral good ,0,Monster Manual,27.0,10.0,22.0,12.0,16.0,16.0,0,0,0
cloud-giant-smiling-one,11.0,giant,cloud giant,Huge,15,262,chaotic neutral,0,Volo's Guide to Monsters,26.0,12.0,22.0,15.0,16.0,17.0,0,0,0
cockatrice,0.5,monstrosity,,Small,11,27,unaligned,0,Monster Manual,6.0,12.0,12.0,2.0,13.0,5.0,1,0,0
commoner,0.0,humanoid,any race,Medium,10,4,any alignment,0,Monster Manual,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0
conjurer,6.0,humanoid,any race,Medium,12,40,any alignment,0,Volo's Guide to Monsters,9.0,14.0,11.0,17.0,12.0,11.0,0,0,0
constrictor-snake,0.25,beast,,Large,12,13,unaligned,0,Monster Manual,15.0,14.0,12.0,1.0,10.0,3.0,0,1,0
copper-dragon-wyrmling,1.0,dragon,copper dragon,Medium,16,22,chaotic good,0,Monster Manual,15.0,12.0,13.0,14.0,11.0,13.0,1,0,0
corpse-flower,8.0,plant,,Large,12,127,chaotic evil,0,Mordenkainen's Tome of Foes,14.0,14.0,16.0,15.0,7.0,3.0,0,0,0
couatl,4.0,celestial,,Medium,19,97,lawful good,0,Monster Manual,16.0,20.0,17.0,18.0,20.0,18.0,1,0,0
cow,0.25,beast,,Large,10,15,unaligned,0,Volo's Guide to Monsters,18.0,10.0,14.0,2.0,10.0,4.0,0,0,0
crab,0.0,beast,,Tiny,11,2,unaligned,0,Monster Manual,2.0,11.0,10.0,1.0,8.0,2.0,0,1,0
crag-cat,1.0,beast,,Large,13,34,unaligned,0,Other,16.0,17.0,16.0,4.0,14.0,8.0,0,0,0
cranium-rat,0.0,beast,,Tiny,12,2,lawful evil,0,Volo's Guide to Monsters,2.0,14.0,10.0,4.0,11.0,8.0,0,0,0
crawling-claw,0.0,undead,,Tiny,12,2,neutral evil,0,Monster Manual,13.0,14.0,11.0,5.0,10.0,4.0,0,0,0
crocodile,0.5,beast,,Large,12,19,unaligned,0,Monster Manual,15.0,10.0,13.0,2.0,10.0,5.0,0,1,0
cult-fanatic,2.0,humanoid,any race,Medium,13,33,any non-good alignment,0,Monster Manual,11.0,14.0,12.0,10.0,13.0,14.0,0,0,0
cultist,0.125,humanoid,any race,Medium,12,9,any non-good alignment,0,Monster Manual,11.0,12.0,10.0,10.0,11.0,10.0,0,0,0
cyclops,6.0,giant,,Huge,14,138,chaotic neutral,0,Monster Manual,22.0,11.0,20.0,8.0,6.0,10.0,0,0,0
dao,11.0,elemental,,Large,18,187,neutral evil,0,Monster Manual,23.0,12.0,24.0,12.0,13.0,14.0,1,0,0
darkling,0.5,fey,,Small,14,13,chaotic neutral,0,Volo's Guide to Monsters,9.0,16.0,12.0,10.0,12.0,10.0,0,0,0
darkling-elder,2.0,fey,,Medium,15,27,chaotic neutral,0,Volo's Guide to Monsters,13.0,17.0,12.0,10.0,14.0,13.0,0,0,0
darkmantle,0.5,monstrosity,,Small,11,22,unaligned,0,Monster Manual,16.0,12.0,13.0,2.0,10.0,5.0,1,0,0
death-dog,1.0,monstrosity,,Medium,12,39,neutral evil,0,Monster Manual,15.0,14.0,14.0,3.0,13.0,6.0,0,0,0
death-kiss,10.0,aberration,beholderkin,Large,16,161,neutral evil,0,Volo's Guide to Monsters,18.0,14.0,18.0,10.0,12.0,10.0,1,0,0
death-knight,17.0,undead,,Medium,20,180,chaotic evil,0,Monster Manual,20.0,11.0,20.0,12.0,16.0,18.0,0,0,0
death-slaad,10.0,aberration,slaad,Medium,18,170,chaotic evil,0,Monster Manual,20.0,15.0,19.0,15.0,10.0,16.0,0,0,1
death-tyrant,14.0,undead,beholder,Large,19,187,lawful evil,1,Monster Manual,10.0,14.0,14.0,19.0,15.0,19.0,1,0,0
death-s-head-of-bhaal,5.0,humanoid,human,Medium,15,76,chaotic evil,0,Other,20.0,20.0,20.0,14.0,13.0,16.0,0,0,0
deathlock,4.0,undead,,Medium,12,36,neutral evil,0,Mordenkainen's Tome of Foes,11.0,15.0,10.0,14.0,12.0,16.0,0,0,0
deathlock-mastermind,8.0,undead,,Medium,13,110,neutral evil,0,Mordenkainen's Tome of Foes,11.0,16.0,12.0,15.0,12.0,17.0,0,0,0
deathlock-wight,3.0,undead,,Medium,12,37,neutral evil,0,Mordenkainen's Tome of Foes,11.0,14.0,16.0,12.0,14.0,16.0,0,0,0
deep-gnome-svirfneblin,0.5,humanoid,gnome,Small,15,16,neutral good,0,Monster Manual,15.0,14.0,14.0,12.0,10.0,9.0,0,0,0
deep-scion,3.0,humanoid,,Medium,11,67,neutral evil,0,Volo's Guide to Monsters,18.0,13.0,16.0,10.0,12.0,14.0,0,1,1
deer,0.0,beast,,Medium,13,4,unaligned,0,Monster Manual,11.0,16.0,11.0,2.0,14.0,5.0,0,0,0
deinonychus,1.0,beast,,Medium,13,26,unaligned,0,Other,15.0,15.0,14.0,4.0,12.0,6.0,0,0,0
demilich,18.0,undead,,Tiny,20,80,neutral evil,1,Monster Manual,1.0,20.0,10.0,20.0,17.0,20.0,1,0,0
derro,0.25,humanoid,derro,Small,13,13,chaotic evil,0,Mordenkainen's Tome of Foes,10.0,14.0,12.0,11.0,5.0,9.0,0,0,0
derro-savant,3.0,humanoid,derro,Small,13,36,chaotic evil,0,Mordenkainen's Tome of Foes,9.0,14.0,12.0,11.0,5.0,14.0,0,0,0
deva,10.0,celestial,,Medium,17,136,lawful good,0,Monster Manual,18.0,18.0,18.0,17.0,20.0,20.0,1,0,0
devilroot,7.0,plant,,Medium,15,105,neutral evil,0,Other,17.0,11.0,17.0,12.0,14.0,14.0,0,0,0
devourer,13.0,fiend,,Large,16,178,chaotic evil,0,Volo's Guide to Monsters,20.0,12.0,20.0,13.0,10.0,16.0,0,0,0
dhergoloth,7.0,fiend,yugoloth,Medium,15,119,neutral evil,0,Mordenkainen's Tome of Foes,17.0,10.0,19.0,7.0,10.0,9.0,0,0,0
dimetrodon,0.25,beast,,Medium,12,19,unaligned,0,Other,14.0,10.0,15.0,2.0,10.0,5.0,0,1,0
dire-troll,13.0,giant,,Huge,15,172,chaotic evil,0,Mordenkainen's Tome of Foes,22.0,15.0,21.0,9.0,11.0,5.0,0,0,0
dire-wolf,1.0,beast,,Large,14,37,unaligned,0,Monster Manual,17.0,15.0,15.0,3.0,12.0,7.0,0,0,0
displacer-beast,3.0,monstrosity,,Large,13,85,lawful evil,0,Monster Manual,18.0,15.0,16.0,6.0,12.0,8.0,0,0,0
diviner,8.0,humanoid,any race,Medium,12,67,any alignment,0,Volo's Guide to Monsters,9.0,14.0,11.0,18.0,12.0,11.0,0,0,0
djinni,11.0,elemental,,Large,17,161,chaotic good,0,Monster Manual,21.0,15.0,22.0,15.0,16.0,20.0,1,0,0
dolphin,0.125,beast,,Medium,12,11,unaligned,0,Volo's Guide to Monsters,14.0,13.0,13.0,6.0,12.0,7.0,0,1,0
doppelganger,3.0,monstrosity,,Medium,14,52,neutral,0,Monster Manual,11.0,18.0,14.0,11.0,12.0,14.0,0,0,1
draegloth,7.0,fiend,demon,Large,15,123,chaotic evil,0,Volo's Guide to Monsters,20.0,15.0,18.0,13.0,11.0,11.0,0,0,0
draft-horse,0.25,beast,,Large,10,19,unaligned,0,Monster Manual,18.0,10.0,12.0,2.0,11.0,7.0,0,0,0
dragon-turtle,17.0,dragon,,Gargantuan,20,341,neutral,0,Monster Manual,25.0,10.0,20.0,10.0,12.0,12.0,0,1,0
dretch,0.25,fiend,demon,Small,11,18,chaotic evil,0,Monster Manual,11.0,11.0,12.0,5.0,8.0,3.0,0,0,0
drider,6.0,monstrosity,,Large,19,123,chaotic evil,0,Monster Manual,16.0,16.0,18.0,13.0,14.0,12.0,0,0,0
drow,0.25,humanoid,elf,Medium,15,13,neutral evil,0,Monster Manual,10.0,14.0,10.0,11.0,11.0,12.0,0,0,0
drow-arachnomancer,13.0,humanoid,elf,Medium,15,162,chaotic evil,0,Mordenkainen's Tome of Foes,11.0,17.0,14.0,19.0,14.0,16.0,0,0,0
drow-elite-warrior,5.0,humanoid,elf,Medium,18,71,neutral evil,0,Monster Manual,13.0,18.0,14.0,11.0,13.0,12.0,0,0,0
drow-favored-consort,18.0,humanoid,elf,Medium,15,225,neutral evil,0,Mordenkainen's Tome of Foes,15.0,20.0,16.0,18.0,15.0,18.0,0,0,0
drow-house-captain,9.0,humanoid,elf,Medium,16,162,neutral evil,0,Mordenkainen's Tome of Foes,14.0,19.0,15.0,12.0,14.0,13.0,0,0,0
drow-inquisitor,14.0,humanoid,elf,Medium,16,143,neutral evil,0,Mordenkainen's Tome of Foes,11.0,15.0,14.0,16.0,21.0,20.0,0,0,0
drow-mage,7.0,humanoid,elf,Medium,12,45,neutral evil,0,Monster Manual,9.0,14.0,10.0,17.0,13.0,12.0,0,0,0
drow-matron-mother,20.0,humanoid,elf,Medium,17,262,neutral evil,0,Mordenkainen's Tome of Foes,12.0,18.0,16.0,17.0,21.0,22.0,0,0,0
drow-priestress-of-lolth,8.0,humanoid,elf,Medium,16,71,neutral evil,0,Monster Manual,10.0,14.0,12.0,13.0,17.0,18.0,0,0,0
drow-shadowblade,11.0,humanoid,elf,Medium,17,150,neutral evil,0,Mordenkainen's Tome of Foes,14.0,21.0,16.0,12.0,14.0,13.0,0,0,0
